merge_id,n_files,n_diverged,file_paths,suspected_category(1-7|none),rationale
apache_shiro__13806fc623,1,0,web/src/test/java/org/apache/shiro/web/mgt/CookieRememberMeManagerTest.java,,
blockchain_api-v1-client-java__abdf54e6ab,1,0,src/main/java/info/blockchain/api/HttpClient.java,,
camsys_onebusaway-application-modules__915e2f3ffe,1,0,onebusaway-transit-data-federation/src/main/java/org/onebusaway/transit_data_federation/impl/beans/StopWithArrivalsAndDeparturesBeanServiceImpl.java,,
clojure_clojure__77342d2e35,1,0,src/jvm/clojure/lang/Compiler.java,,
cloudfoundry_cf-java-client__80d0a0dff9,1,0,cloudfoundry-operations/src/main/java/org/cloudfoundry/operations/serviceadmin/DefaultServiceAdmin.java,,
cloudfoundry_cf-java-client__9f6b79e294,1,0,cloudfoundry-operations/src/main/java/org/cloudfoundry/operations/applications/DefaultApplications.java,,
cternes_openkeepass__bb53512ab2,2,0,src/main/java/de/slackspace/openkeepass/KeePassDatabase.java;src/test/java/de/slackspace/openkeepass/reader/KeepassDatabaseReaderTest.java,,
javaparser_javaparser__a23c6aa3b8,1,0,javaparser-testing/src/test/java/com/github/javaparser/bdd/steps/DumpingSteps.java,,
jnr_jnr-unixsocket__467698b6bd,2,0,src/main/java/jnr/unixsocket/Native.java;src/main/java/jnr/unixsocket/UnixSocketChannel.java,,
kaazing_robot__084cc0b426,1,0,specification/wse/src/test/java/org/kaazing/specification/wse/data/BinaryAsEscapedTextIT.java,,
mikera_vectorz__d93ef1b341,1,0,src/test/java/mikera/matrixx/TestMatrices.java,,
mitre_http-proxy-servlet__b7a68118f2,1,0,src/main/java/org/mitre/dsmiley/httpproxy/ProxyServlet.java,,
named-data_jndn__3d47402192,1,0,src/net/named_data/jndn/NetworkNack.java,,
nysenate_openlegislation__9c7cf034c1,1,0,src/main/java/gov/nysenate/openleg/search/committee/ElasticCommitteeSearchDao.java,,
openhft_chronicle-bytes__5bad7e86ea,1,0,src/main/java/net/openhft/chronicle/bytes/NativeBytes.java,,
openhft_chronicle-bytes__e3ac571d25,1,0,src/test/java/net/openhft/chronicle/bytes/BytesTest.java,,
prism_prism-bukkit__6dfb9ef0cf,1,0,src/main/java/me/botsko/prism/commands/NearCommand.java,,
prism_prism-bukkit__74927cacad,2,1,src/main/java/me/botsko/prism/actionlibs/ActionsQuery.java;src/main/java/me/botsko/prism/database/DeleteQuery.java,,
tabulapdf_tabula-java__767699f3aa,2,1,src/main/java/technology/tabula/detectors/RegexSearch.java;src/test/java/technology/tabula/TestRegexSearch.java,,
thenewcircle_spring-hibernate-20120924__7ec9c1b4bb,1,0,src/main/java/com/marakana/contacts/controllers/ContactController.java,,
urbanairship_datacube__b8bef94f4d,2,0,src/main/java/com/urbanairship/datacube/DataCubeIo.java;src/main/java/com/urbanairship/datacube/dbharnesses/HBaseDbHarness.java,,
winder_universal-g-code-sender__84d687330a,2,0,ugs-core/src/com/willwinder/universalgcodesender/model/GUIBackend.java;ugs-core/src/com/willwinder/universalgcodesender/utils/ControllerSettings.java,,
xebia_xebium__a82603c978,1,0,src/main/java/com/xebia/incubator/xebium/SeleniumDriverFixture.java,,
